;usa0;usa1;usa2;usa3;usa4;usa5;usa6;usa7;usa8;usa9
eu0;0.444925135155;0.477077273573;0.453774275189;0.477800358401;0.275979656761;0.341546421778;0.345850890018;0.50069874097;0.44548203653;0.453262322775
eu1;0.435885502508;0.417275189562;0.316718529991;0.472115165079;0.360154301613;0.437970498715;0.221210354809;0.468735441315;0.456261839761;0.458997436525
eu2;0.372254784116;0.459717160504;0.437678463655;0.402236496019;0.296048058668;0.2529215935;0.383129918241;0.46718576261;0.391817720273;0.395041409479
eu3;0.410216780199;0.337213515878;0.34620042261;0.384819775331;0.282111398604;0.409749548642;0.263095218967;0.424051872634;0.409008620155;0.415457772248
eu4;0.461291213118;0.439560407827;0.435512263198;0.328386290955;0.377871948291;0.475144761752;0.418274203262;0.388811495374;0.475141776976;0.486149338306
eu5;0.362374904428;0.366444114139;0.442586421431;0.369582020037;0.370741023445;0.346193284207;0.423910669188;0.442149797144;0.429012400487;0.351637665781
eu6;0.454802946048;0.441799458367;0.422258477888;0.33324369289;0.345073375579;0.480559549319;0.411901831034;0.356553853925;0.468207223079;0.485778361488
eu7;0.34943769608;0.440239885471;0.296985018946;0.453250780351;0.32209291564;0.376409763561;0.308796621667;0.440714385424;0.401554935101;0.40082080196
eu8;0.312144644969;0.450629447624;0.356577141724;0.42578440907;0.417004689921;0.418618883484;0.40882298271;0.401156939257;0.43759142617;0.411810113549
eu9;0.367875999078;0.422455479901;0.330623383233;0.428502225508;0.331093680923;0.385984977012;0.323425416767;0.443709132;0.275993649614;0.385441846704
