;usa0;usa1;usa2;usa3;usa4;usa5;usa6;usa7;usa8;usa9
eu0;0.233118020097;0.401944709707;0.346080260571;0.428842020894;0.403027525739;0.398809081438;0.378834916097;0.287505035167;0.404789903821;0.470668329763
eu1;0.269705501251;0.289890951965;0.276671390336;0.330751168309;0.339795133008;0.31808555215;0.330387424677;0.350833125044;0.369723967767;0.36345748553
eu2;0.340989621497;0.334308868209;0.223026294495;0.30056350011;0.201478376979;0.349816026001;0.367178819826;0.32175142728;0.324052856708;0.323906373354
eu3;0.368949956928;0.401184323229;0.342614206591;0.344941650236;0.302149261294;0.336685521307;0.309405290599;0.307501824536;0.433484546841;0.370375883102
eu4;0.377199259248;0.38032852744;0.315765254312;0.347900501006;0.243355388574;0.306438727486;0.244971568347;0.22312539678;0.396922738342;0.377935415153
eu5;0.368166080397;0.392217588649;0.359812495842;0.3814838014;0.316184695016;0.309292590355;0.232128409128;0.334159205666;0.432672996299;0.415863272123
eu6;0.381084280474;0.365427692757;0.335676966381;0.39534817754;0.270510339245;0.262222981916;0.301003638025;0.211384336164;0.281145773582;0.411690638113
eu7;0.418883246774;0.416461440356;0.370179963454;0.386875117416;0.22208266591;0.341926063075;0.318903810305;0.352636948586;0.458515286451;0.411703657455
eu8;0.326294830538;0.401700323416;0.342631844958;0.406461897319;0.35117016678;0.379439171389;0.36667400027;0.269458436712;0.426714148275;0.450190683033
eu9;0.366007874142;0.349710007462;0.196931201333;0.28467175412;0.299312457032;0.393682466646;0.396136088137;0.379168607745;0.378998189115;0.304100902323
